_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6687deb08fe0103e5f5e72f1,,109.98,96.21,111.98,75.18,275;1;0;1,time,30,-1,2,30,0,2.95,false,false,english,none,normal,false,false,false,,1720180400000
6687cdbf82c1af7317d33399,,101.19,94.83,101.19,69.69,253;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1720176063000
6687cd8c82c1af7317d331e7,,84.38,92.5,91.18,68.22,211;6;0;1,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1720176012000
6687cd5582c1af7317d32ff2,,97.19,99.59,97.19,82.12,243;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1720175957000
6687cd3682c1af7317d32ec3,,86.39,92.12,89.99,69.94,216;2;0;0,time,30,-1,4,30,0,24.66,false,false,english,none,normal,false,false,false,,1720175926000
668612552bf96eebd6e97f96,,89.59,92.64,99.99,68.29,224;8;0;2,time,30,-1,2,30,0,2.29,false,false,english,none,normal,false,false,false,,1720062549000
668612322bf96eebd6e97e75,,93.59,93.77,95.99,70.99,234;0;1;0,time,30,-1,6,30,0,16.77,false,false,english,none,normal,false,false,false,,1720062514000
668611fc2bf96eebd6e97cce,,94,92.4,101.2,71.34,235;6;1;1,time,30,-1,4,30,0,8.08,false,false,english,none,normal,false,false,false,,1720062460000
668611d02bf96eebd6e97b7c,,97.99,93.26,101.99,72.27,245;4;0;0,time,30,-1,4,30,0,25.76,false,false,english,none,normal,false,false,false,,1720062416000
668611902bf96eebd6e97974,,98.38,96.11,99.98,74.48,246;2;1;0,time,30,-1,1,30,0,2.3,false,false,english,none,normal,false,false,false,,1720062352000
6686116d2bf96eebd6e9786e,,99.98,96.17,100.78,78.77,250;1;0;0,time,30,-1,3,30.01,0,23.02,false,false,english,none,normal,false,false,false,,1720062317000
668611352bf96eebd6e976f5,,100.39,96.17,100.39,72.3,251;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1720062261000
668611152bf96eebd6e9762b,,91.98,94.72,93.98,76.35,230;2;0;0,time,30,-1,1,30.01,0,3.15,false,false,english,none,normal,false,false,false,,1720062229000
668610ef2bf96eebd6e9753a,,92.39,93.73,94.79,69.97,231;3;0;0,time,30,-1,6,30,0,23.56,false,false,english,none,normal,false,false,false,,1720062191000
668610a32bf96eebd6e97357,,103.98,99.24,103.98,86.47,260;0;0;0,time,30,-1,3,30.01,0,19.56,false,false,english,none,normal,false,false,false,,1720062115000
6686106d2bf96eebd6e971df,,107.18,99.63,107.18,81.23,268;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1720062061000
668610402bf96eebd6e970aa,,91.18,92.89,93.58,74.44,228;3;0;0,time,30,-1,1,30.01,0,0.72,false,false,english,none,normal,false,false,false,,1720062016000
668610202bf96eebd6e96fca,,94.39,92.72,99.59,73.1,236;4;1;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1720061984000
668610002bf96eebd6e96ef1,,90.79,94.69,93.59,74.11,227;1;0;1,time,30,-1,2,30,0,3.97,false,false,english,none,normal,false,false,false,,1720061952000
66860fdb2bf96eebd6e96dc1,,95.6,93.58,99.6,72.41,239;0;0;2,time,30,-1,2,30,0,1.8,false,false,english,none,normal,false,false,false,,1720061915000
66860f932bf96eebd6e96bb2,,87.59,93.67,89.59,74.61,219;2;0;0,time,30,-1,3,30,0,22.23,false,false,english,none,normal,false,false,false,,1720061843000
66860f592bf96eebd6e96a09,,103.18,95.96,104.78,74.38,258;0;0;1,time,30,-1,1,30.01,0,3.93,false,false,english,none,normal,false,false,false,,1720061785000
66860f352bf96eebd6e968fd,,93.59,96.03,97.19,67.97,234;1;0;1,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1720061749000
66860f0a2bf96eebd6e967ce,,89.98,94.69,91.58,72.06,225;0;0;1,time,30,-1,2,30.01,0,1.81,false,false,english,none,normal,false,false,false,,1720061706000
66860ee82bf96eebd6e966e5,,80.79,88.33,89.59,67.09,202;8;1;6,time,30,-1,4,30,0,9.73,false,false,english,none,normal,false,false,false,,1720061672000
6682e78671cb2c5f00bed4d5,,102.8,97.01,104.8,82.2,257;2;0;0,time,30,-1,5,30,0,50.95,false,false,english,none,normal,false,false,false,,1719854982000
